Section,Item,Details,Input Tokens,Output Tokens,Cost (USD),Notes
Optimization,Batch API (Gemini),50% discount on non-realtime calls,,,Up to 50% on batch ops,When latency is not critical
Optimization,Cache career path analysis,Per profile hash,,,Avoids re-analyzing same profile,Day 1
Optimization,Cache job descriptions,Already built in database,,,Avoids re-fetching from API,Already done
Optimization,Lazy-load ML models,Only in worker process,,,Saves RAM on API server,Separate API from worker
Optimization,Rate limit free users,Max 5 pipeline runs/day,,,Prevents abuse,Day 1
,,,,,,
=== RISK FACTORS ===,,,,,,
Risk,API abuse,Malicious/careless users triggering many runs,,,Rate limit + credit system,Enforce in API middleware
Risk,Railway RAM for ML models,all-MiniLM-L6-v2 + xlm-roberta = ~1.3 GB,,,~$20/mo for 2 GB RAM,Switch to Gemini embeddings API if too costly
Risk,Vercel commercial use,Hobby plan is non-commercial only,,,Must use Pro at $20/mo,Non-negotiable for paid product
Risk,Stripe transaction fees,2.9% + $0.30 per charge,,,~5% on $15 subscriptions,Industry standard / unavoidable
Risk,PDF generation CPU spikes,fpdf2 is CPU-bound,,,Throttled by ARQ workers,Workers process one task at a time
Risk,Gemini rate limits,Flash: 2000 RPM / 4M TPM,,,More than enough for early stage,Monitor usage dashboard
